sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[188,inf](x_1207 <= 0.9668) ) )",2,2,0.875,7,1
1,white-faced_whistling_duck,( F(x_1061 => 22.9649) ),1,1,0.888889,8,1
2,black-bellied_whistling_duck,"( ( F[53,inf](x_1171 => 19.6558) ) ∧ ( G(x_1246 <= 2.9856) ) )",2,2,0.833333,5,1
3,black-bellied_whistling_duck,"( ( ( F[53,inf](x_1171 => 19.6558) ) ∧ ( F[59,74](x_875 => 0.3893) ) ) ∧ ( F[41,96](x_912 => 2.2804) ) )",3,3,0.666667,4,2
4,black-bellied_whistling_duck,"( ( ( ( ( ( F[53,inf](x_1171 => 19.6558) ) ∧ ( F[59,74](x_875 => 0.3893) ) ) ∧ ( F(x_1061 => 5.5444) ) ) ∧ ( F(x_1059 => 5.3127) ) ) ∧ ( F[41,96](x_912 => 2.2804) ) ) ∧ ( F[188,inf](x_1207 => 1.4185) ) )",6,6,0.6,3,2
5,black-bellied_whistling_duck,"( ( F[41,96](x_912 => 2.2804) ) ∧ ( G[209,inf](x_1200 <= 1.8003) ) )",2,2,0.75,3,1
6,black-bellied_whistling_duck,"( ( ( F[59,74](x_875 => 0.3893) ) ∧ ( G(x_1246 <= 2.9856) ) ) ∧ ( F[188,inf](x_1207 => 1.4185) ) )",3,3,0.75,3,1
7,white-faced_whistling_duck,( F(x_1061 => 22.9649) ),1,1,0.888889,8,1
8,black-bellied_whistling_duck,"( ( ( F[41,96](x_912 => 2.2804) ) ∧ ( G[1,2](x_898 => 0.059) ) ) ∧ ( G[50,inf](x_1308 <= 1.3492) ) )",3,3,1.0,2,0
9,white-faced_whistling_duck,( F(x_1061 => 22.9649) ),1,1,0.888889,8,1
10,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
11,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( F[50,inf](x_1308 => 4.951) ) )",2,2,1.0,6,0
12,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[188,inf](x_1207 <= 0.9668) ) )",2,2,0.875,7,1
13,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
14,greylag_goose,"( ( F[188,inf](x_1207 => 6.6063) ) ∧ ( G[53,inf](x_1171 <= 6.1553) ) )",2,2,1.0,2,0
15,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( F[50,inf](x_1308 => 4.951) ) )",2,2,1.0,6,0
16,canadian_goose,"( ( G(x_1061 <= 2.3825) ) ∧ ( F[50,inf](x_1308 => 4.951) ) )",2,2,0.833333,5,1
17,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[188,inf](x_1207 <= 0.9668) ) )",2,2,0.875,7,1
18,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[188,inf](x_1207 <= 0.9668) ) )",2,2,0.875,7,1
19,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( F[50,inf](x_1308 => 4.951) ) )",2,2,1.0,6,0
20,canadian_goose,"( ( G[53,inf](x_1171 <= 3.6076) ) ∧ ( G[188,inf](x_1207 <= 0.9668) ) )",2,2,0.875,7,1
21,pink-footed_goose,( F(x_1246 => 38.133) ),1,1,0.875,7,1
22,pink-footed_goose,"( F[110,inf](x_1236 => 28.9624) )",1,1,1.0,7,0
23,canadian_goose,"( ( ( F[50,inf](x_1308 => 4.951) ) ∧ ( F[110,inf](x_1236 => 1.5069) ) ) ∧ ( F(x_1246 => 2.9856) ) )",3,3,0.333333,3,6
